Date,Tweet,Retweets,Quote Tweets,Likes
"11:49:00 AM Oct 2, 2022",Do not let ancient grudge break to new mutiny,7619,623,93000
"4:03:00 PM Oct 2, 2022",Prufrock II emerging from the ground,3584,349,59300
"4:47:00 PM Oct 2, 2022",The embarrassing hose down photos were highly motivating tbh,178,58,5817
"4:27:00 PM Oct 2, 2022",Tunneled under the road from one property to another. This is to test the new machine,223,27,5458
"4:26:00 PM Oct 2, 2022","Unfortunately, snail is still faster, but TBC might beat snail by end of 2024",179,28,4390
"3:08:00 PM Oct 2, 2022","But between now and then, we do actually need to work hard",229,43,3985
"3:07:00 PM Oct 2, 2022","I don’t care about boosting the stock, but the economic implications are obvious",842,162,15600
"11:32:00 AM Oct 2, 2022",So many talented Russians in America,139,25,3354
"11:22:00 AM Oct 2, 2022",Customer experience suffers when there is an end of quarter rush. Steady as she goes is the right move.,328,51,4833
"11:00:00 AM Oct 2, 2022",??,794,76,22800
"9:46:00 AM Oct 2, 2022",Master Plan (mé·nage à) Trois is all about tonnage,357,43,6073
"8:04:00 AM Oct 2, 2022","Thanks, we have a great team",264,22,6808
"8:03:00 AM Oct 2, 2022",Beautiful,494,47,15200
"4:41:00 AM Oct 2, 2022",Exactly,250,35,7413
